mutant-id|timeToExecute|0-should be the same version as client|1-should be able to set ping timeout to engine.io|2-should be able to set ping interval to engine.io|3-should be able to set transports to engine.io|4-should be able to set maxHttpBufferSize to engine.io|5-should be able to set path with setting resource|6-should be able to set origins to engine.io|7-should be able to set authorization and send error packet|8-should be able to set authorization and succeed|9-should set the handshake BC object|10-should serve static files|11-should handle 304|12-should not serve static files|13-should work with #attach|14-should be bound|15-should be bound as a string|16-with listen|17-as a string|18-should disallow request when origin defined and none specified|19-should disallow request when origin defined and a different one specified|20-should allow request when origin defined an the same is specified|21-should allow request when origin defined as function and same is supplied|22-should allow request when origin defined as function and different is supplied|23-should allow request when origin defined as function and no origin is supplied|24-should default to port 443 when protocol is https|25-should allow request if custom function in opts.allowRequest returns true|26-should disallow request if custom function in opts.allowRequest returns false|27-should allow request when using an array of origins|28-should be able to close sio sending a srv|29-should be able to close sio sending a port|30-should stop socket and timers (6648ms)|31-should be accessible through .sockets|32-should be aliased|33-should automatically connect|34-should fire a `connection` event|35-should fire a `connect` event|36-should work with many sockets|37-should be able to equivalently start with "" or "/" on server|38-should be equivalent for "" and "/" on client|39-should work with `of` and many sockets|40-should work with `of` second param|41-should disconnect upon transport disconnection|42-should disconnect both default and custom namespace upon disconnect|43-should not crash while disconnecting socket|44-should fire a `disconnecting` event just before leaving all rooms|45-should return error connecting to non-existent namespace|46-should not reuse same-namespace connections|47-should find all clients in a namespace|48-should find all clients in a namespace room|49-should find all clients across namespace rooms|50-should not emit volatile event after regular event (507ms)|51-should emit volatile event (532ms)|52-should enable compression by default|53-should disable compression|54-should allow connections to dynamic namespaces with a regex|55-should allow connections to dynamic namespaces with a function|56-should disallow connections when no dynamic namespace matches|57-should not fire events more than once after manually reconnecting|58-should not fire reconnect_failed event more than once when server closed (9495ms)|59-should receive events|60-should receive message events through `send`|61-should error with null messages|62-should handle transport null messages|63-should emit events|64-should emit events with utf8 multibyte character|65-should emit events with binary data (102ms)|66-should emit events with several types of data (including binary) (117ms)|67-should receive events with binary data|68-should receive events with several types of data (including binary) (162ms)|69-should not emit volatile event after regular event (polling) (215ms)|70-should not emit volatile event after regular event (ws) (225ms)|71-should emit volatile event (polling) (508ms)|72-should emit volatile event (ws) (222ms)|73-should emit only one consecutive volatile event (polling) (544ms)|74-should emit only one consecutive volatile event (ws) (210ms)|75-should emit regular events after trying a failed volatile event (polling) (212ms)|76-should emit regular events after trying a failed volatile event (ws) (209ms)|77-should emit message events through `send`|78-should receive event with callbacks|79-should receive all events emitted from namespaced client immediately and in order (139ms)|80-should emit events with callbacks|81-should receive events with args and callback|82-should emit events with args and callback|83-should receive events with binary args and callbacks|84-should emit events with binary args and callback|85-should emit events and receive binary data in a callback (169ms)|86-should receive events and pass binary data in a callback|87-should have access to the client|88-should have access to the connection|89-should have access to the request|90-should see query parameters in the request|91-should see query parameters sent from secondary namespace connections in handshake object|92-should handle very large json (3198ms)|93-should handle very large binary data (542ms)|94-should be able to emit after server close and restart (194ms)|95-should enable compression by default|96-should disable compression|97-should error with raw binary and warn (231ms)|98-should not crash when receiving an error packet without handler (235ms)|99-should not crash with raw binary (130ms)|100-should handle empty binary packet (125ms)|101-should not crash when messing with Object prototype (and other globals) (136ms)|102-should always trigger the callback (if provided) when joining a room|103-emits to a namespace|104-emits binary data to a namespace|105-emits to the rest|106-emits to rooms (103ms)|107-emits to rooms avoiding dupes|108-broadcasts to rooms|109-broadcasts binary data to rooms|110-keeps track of rooms|111-deletes empty rooms|112-should properly cleanup left rooms|113-allows to join several rooms at once|114-should call functions|115-should pass errors|116-should pass `data` of error object|117-should only call connection after fns|118-should only call connection after (lengthy) fns (317ms)|119-should be ignored if socket gets closed|120-should call functions in expected order (288ms)|121-should disable the merge of handshake packets|122-should work with a custom namespace|123-should call functions|124-should pass errors|125-should pass `data` of error object
MUTANT 3|19595ms|1|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|0|1|1|1|1|1|1|1|0|1|1|0|1|1|0|1|1|1|0|0|1|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 2|28594ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|0|1|0|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 1|44526ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 6|16027ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 8|15095ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 7|57432ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1
MUTANT 4|171727ms|1|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 9|145022ms|1|1|1|1|1|1|1|0|0|1|1|1|1|1|0|0|1|1|0|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|0|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|0|0|1|0|1|0|1|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 12|23265ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|1|1|1|1|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 14|13203ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|0|1|1|0|1|1|1|1|0|1|1|1|1|1|1|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
